    1 34.74   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1018    1   11    0    7    0    3    0
   10    0 1022    0 1522    1   11    0    3    0    4    0
   14    0  522    0 1526    1   11    0    1    1    0    0
    2 36.63   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1426    2    7    0    7    0    3    0
   10    0 1430    0 2383    2    7    0    3    0    4    0
   14    0  522    0 2387    2    7    0    1    1    0    0
    3 39.31   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1334    1   12    0    7    0    3    0
   10    0 1338    0 1886    1   12    0    3    0    4    0
   14    0  522    0 1890    1   12    0    1    1    0    0
    4 41.58   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1497    4    2    0    7    0    3    0
   10    0 1501    0 2484    4    2    0    3    0    4    0
   14    0  522    0 2488    4    2    0    1    1    0    0
    5 44.41   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1497    4   12    0    7    0    3    0
   10    0 1501    0 2244    4   12    0    3    0    4    0
   14    0  522    0 2248    4   12    0    1    1    0    0
    6 46.99   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1229    4   12    0    7    0    3    0
   10    0 1233    0 2191    4   12    0    3    0    4    0
   14    0  522    0 2195    4   12    0    1    1    0    0
    7 49.48   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1346    3    5    0    7    0    3    0
   10    0 1350    0 1867    3    5    0    3    0    4    0
   14    0  523    0 1871    3    5    0    1    1    0    0
    8 51.70   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1358    3    1    0    7    0    3    0
   10    0 1362    0 2241    3    1    0    3    0    4    0
   14    0  522    0 2245    3    1    0    1    1    0    0
    9 54.25   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1346    1   10    0    7    0    3    0
   10    0 1350    0 1935    1   10    0    3    0    4    0
   14    0  522    0 1939    1   10    0    1    1    0    0
   10 56.46   5  12
   10    0    0    0   10    0    0    0    1    0    1    0
   10    0   14    0  514    0    0    0    7    1    2    0
   10    0  518    0 1156    4    1    0    7    0    3    0
   10    0 1160    0 1683    4    1    0    3    0    4    0
   14    0  522    0 1687    4    1    0    1    1    0    0
