 	File: D:\HumanV1\Marc\DAT\fartspeakers-sweep-2013-02-12.log
 ---------------------------------------------------------------
	Max.Trl	Rpts	Dif.Trl	ITI--Range		Rnd	#
 0	145		1	145		0	0		0	8
 ---------------------------------------------------------------
	channr	LP	rate	#	name
 0	0		250	1017	600	Eye H
 0	1		250	1017	600	Eye V
 0	2		250	1017	600	Eye F
 0	3		250	1017	600	Button
 0	4		250	1017	600	chan 5
 0	5		250	1017	600	chan 6
 0	6		250	1017	600	chan 7
 0	7		250	1017	600	chan 8
 ===============================================================
							ITI->	set	real	span
 Trl	Stm	Type	X	Y	On	Off	Int	Attr	Bit	Flnk
 ===============================================================
 								0	0	0
  1	 1	Snd1	   0	   1	    1	  443	  30	  15	   0	   1
  1	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   1
 								0	0	0
  2	 1	Snd1	   0	   2	    1	  443	  30	  15	   0	   2
  2	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   2
 								0	0	0
  3	 1	Snd1	   0	   3	    1	  443	  30	  15	   0	   3
  3	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   3
 								0	0	0
  4	 1	Snd1	   0	   4	    0	  443	  30	  15	   0	   4
  4	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   4
 								0	0	0
  5	 1	Snd1	   0	   5	    0	  443	  30	  15	   0	   5
  5	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   5
 								0	0	0
  6	 1	Snd1	   0	   6	    1	  443	  30	  15	   0	   6
  6	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   6
 								0	0	0
  7	 1	Snd1	   0	   7	    1	  443	  30	  15	   0	   7
  7	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   7
 								0	0	0
  8	 1	Snd1	   0	   8	    1	  443	  30	  15	   0	   8
  8	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   8
 								0	0	0
  9	 1	Snd1	   0	   9	    0	  443	  30	  15	   0	   9
  9	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	   9
 								0	0	0
 10	 1	Snd1	   0	  10	    0	  443	  30	  15	   0	  10
 10	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  10
 								0	0	0
 11	 1	Snd1	   0	  11	    1	  444	  30	  15	   0	  11
 11	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  11
 								0	0	0
 12	 1	Snd1	   0	  12	    1	  443	  30	  15	   0	  12
 12	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  12
 								0	0	0
 13	 1	Snd1	   0	  13	    0	  443	  30	  15	   0	  13
 13	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  13
 								0	0	0
 14	 1	Snd1	   0	  14	    1	  444	  30	  15	   0	  14
 14	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  14
 								0	0	0
 15	 1	Snd1	   0	  15	    0	  443	  30	  15	   0	  15
 15	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  15
 								0	0	0
 16	 1	Snd1	   0	  16	    1	  444	  30	  15	   0	  16
 16	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  16
 								0	0	0
 17	 1	Snd1	   0	  17	    1	  443	  30	  15	   0	  17
 17	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  17
 								0	0	0
 18	 1	Snd1	   0	  18	    1	  443	  30	  15	   0	  18
 18	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  18
 								0	0	0
 19	 1	Snd1	   0	  19	    0	  443	  30	  15	   0	  19
 19	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  19
 								0	0	0
 20	 1	Snd1	   0	  20	    1	  443	  30	  15	   0	  20
 20	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  20
 								0	0	0
 21	 1	Snd1	   0	  21	    0	  443	  30	  15	   0	  21
 21	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  21
 								0	0	0
 22	 1	Snd1	   0	  22	    1	  443	  30	  15	   0	  22
 22	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  22
 								0	0	0
 23	 1	Snd1	   0	  23	    1	  443	  30	  15	   0	  23
 23	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  23
 								0	0	0
 24	 1	Snd1	   0	  24	    1	  443	  30	  15	   0	  24
 24	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  24
 								0	0	0
 25	 1	Snd1	   0	  25	    1	  444	  30	  15	   0	  25
 25	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  25
 								0	0	0
 26	 1	Snd1	   0	  26	    0	  443	  30	  15	   0	  26
 26	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  26
 								0	0	0
 27	 1	Snd1	   0	  27	    1	  443	  30	  15	   0	  27
 27	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  27
 								0	0	0
 28	 1	Snd1	   0	  28	    1	  443	  30	  15	   0	  28
 28	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  28
 								0	0	0
 29	 1	Snd1	   0	  29	    1	  444	  30	  15	   0	  29
 29	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  29
 								0	0	0
 30	 1	Snd1	   0	   1	    0	  443	  40	  15	   0	  30
 30	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  30
 								0	0	0
 31	 1	Snd1	   0	   2	    1	  443	  40	  15	   0	  31
 31	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  31
 								0	0	0
 32	 1	Snd1	   0	   3	    1	  444	  40	  15	   0	  32
 32	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  32
 								0	0	0
 33	 1	Snd1	   0	   4	    1	  443	  40	  15	   0	  33
 33	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  33
 								0	0	0
 34	 1	Snd1	   0	   5	    0	  443	  40	  15	   0	  34
 34	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  34
 								0	0	0
 35	 1	Snd1	   0	   6	    0	  443	  40	  15	   0	  35
 35	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  35
 								0	0	0
 36	 1	Snd1	   0	   7	    0	  443	  40	  15	   0	  36
 36	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  36
 								0	0	0
 37	 1	Snd1	   0	   8	    1	  443	  40	  15	   0	  37
 37	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  37
 								0	0	0
 38	 1	Snd1	   0	   9	    1	  444	  40	  15	   0	  38
 38	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  38
 								0	0	0
 39	 1	Snd1	   0	  10	    0	  443	  40	  15	   0	  39
 39	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  39
 								0	0	0
 40	 1	Snd1	   0	  11	    0	  443	  40	  15	   0	  40
 40	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  40
 								0	0	0
 41	 1	Snd1	   0	  12	    1	  444	  40	  15	   0	  41
 41	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  41
 								0	0	0
 42	 1	Snd1	   0	  13	    0	  443	  40	  15	   0	  42
 42	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  42
 								0	0	0
 43	 1	Snd1	   0	  14	    1	  443	  40	  15	   0	  43
 43	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  43
 								0	0	0
 44	 1	Snd1	   0	  15	    0	  443	  40	  15	   0	  44
 44	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  44
 								0	0	0
 45	 1	Snd1	   0	  16	    1	  443	  40	  15	   0	  45
 45	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  45
 								0	0	0
 46	 1	Snd1	   0	  17	    0	  443	  40	  15	   0	  46
 46	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  46
 								0	0	0
 47	 1	Snd1	   0	  18	    1	  444	  40	  15	   0	  47
 47	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  47
 								0	0	0
 48	 1	Snd1	   0	  19	    1	  443	  40	  15	   0	  48
 48	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  48
 								0	0	0
 49	 1	Snd1	   0	  20	    1	  443	  40	  15	   0	  49
 49	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  49
 								0	0	0
 50	 1	Snd1	   0	  21	    0	  443	  40	  15	   0	  50
 50	 2	Inp1	 NaN	 NaN	 NaN	21604	 NaN	 NaN	 NaN	  50
 								0	0	0
 51	 1	Snd1	   0	  22	    1	  443	  40	  15	   0	  51
