 	File: D:\HumanV1\Marc\DAT\fartspeakers-1-2013-02-11.log
 ---------------------------------------------------------------
	Max.Trl	Rpts	Dif.Trl	ITI--Range		Rnd	#
 0	2030		1	1015		0	0		0	8
 ---------------------------------------------------------------
	channr	LP	rate	#	name
 0	0		250	1017	600	Eye H
 0	1		250	1017	600	Eye V
 0	2		250	1017	600	Eye F
 0	3		250	1017	600	Button
 0	4		250	1017	600	chan 5
 0	5		250	1017	600	chan 6
 0	6		250	1017	600	chan 7
 0	7		250	1017	600	chan 8
 ===============================================================
							ITI->	set	real	span
 Trl	Stm	Type	X	Y	On	Off	Int	Attr	Bit	Flnk
 ===============================================================
 								0	0	0
  1	 1	Snd1	   0	   1	    1	 1003	  30	   1	   0	   1
  1	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   1
 								0	0	0
  2	 1	Snd1	   0	   2	    1	 1003	  30	   1	   0	   2
  2	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   2
 								0	0	0
  3	 1	Snd1	   0	   3	    1	 1003	  30	   1	   0	   3
  3	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   3
 								0	0	0
  4	 1	Snd1	   0	   4	    1	 1003	  30	   1	   0	   4
  4	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   4
 								0	0	0
  5	 1	Snd1	   0	   5	    0	 1003	  30	   1	   0	   5
  5	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   5
 								0	0	0
  6	 1	Snd1	   0	   6	    1	 1003	  30	   1	   0	   6
  6	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   6
 								0	0	0
  7	 1	Snd1	   0	   7	    0	 1003	  30	   1	   0	   7
  7	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   7
 								0	0	0
  8	 1	Snd1	   0	   8	    1	 1003	  30	   1	   0	   8
  8	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   8
 								0	0	0
  9	 1	Snd1	   0	   9	    0	 1003	  30	   1	   0	   9
  9	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	   9
 								0	0	0
 10	 1	Snd1	   0	  10	    0	 1003	  30	   1	   0	  10
 10	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  10
 								0	0	0
 11	 1	Snd1	   0	  11	    1	 1003	  30	   1	   0	  11
 11	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  11
 								0	0	0
 12	 1	Snd1	   0	  12	    0	 1003	  30	   1	   0	  12
 12	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  12
 								0	0	0
 13	 1	Snd1	   0	  13	    0	 1003	  30	   1	   0	  13
 13	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  13
 								0	0	0
 14	 1	Snd1	   0	  14	    0	 1003	  30	   1	   0	  14
 14	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  14
 								0	0	0
 15	 1	Snd1	   0	  15	    1	 1003	  30	   1	   0	  15
 15	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  15
 								0	0	0
 16	 1	Snd1	   0	  16	    0	 1003	  30	   1	   0	  16
 16	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  16
 								0	0	0
 17	 1	Snd1	   0	  17	    1	 1003	  30	   1	   0	  17
 17	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  17
 								0	0	0
 18	 1	Snd1	   0	  18	    1	 1003	  30	   1	   0	  18
 18	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  18
 								0	0	0
 19	 1	Snd1	   0	  19	    0	 1003	  30	   1	   0	  19
 19	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  19
 								0	0	0
 20	 1	Snd1	   0	  20	    1	 1003	  30	   1	   0	  20
 20	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  20
 								0	0	0
 21	 1	Snd1	   0	  21	    1	 1003	  30	   1	   0	  21
 21	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  21
 								0	0	0
 22	 1	Snd1	   0	  22	    1	 1003	  30	   1	   0	  22
 22	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  22
 								0	0	0
 23	 1	Snd1	   0	  23	    1	 1003	  30	   1	   0	  23
 23	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  23
 								0	0	0
 24	 1	Snd1	   0	  24	    1	 1003	  30	   1	   0	  24
 24	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  24
 								0	0	0
 25	 1	Snd1	   0	  25	    1	 1003	  30	   1	   0	  25
 25	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  25
 								0	0	0
 26	 1	Snd1	   0	  26	    1	 1003	  30	   1	   0	  26
 26	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  26
 								0	0	0
 27	 1	Snd1	   0	  27	    0	 1003	  30	   1	   0	  27
 27	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  27
 								0	0	0
 28	 1	Snd1	   0	  28	    0	 1003	  30	   1	   0	  28
 28	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  28
 								0	0	0
 29	 1	Snd1	   0	  29	    1	 1003	  30	   1	   0	  29
 29	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  29
 								0	0	0
 30	 1	Snd1	   0	   1	    0	 1003	  40	   1	   0	  30
 30	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  30
 								0	0	0
 31	 1	Snd1	   0	   2	    1	 1003	  40	   1	   0	  31
 31	 2	Inp1	 NaN	 NaN	 NaN	48928	 NaN	 NaN	 NaN	  31
 								0	0	0
